KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iqSK4,That [i]looks [/i]like an Antenna off a UCH Crusader-Class Frigate!\nThat [i]should [/i]be able to do the job it if it's not too damaged.,,,,,,,,"Это [i]выглядит [/i]как антенна с фрегата класса «Крестоносец» ЦЭКБС!\nЭто [i]должен [/i]быть в состоянии выполнить работу, если он не слишком поврежден.",,,,,,,,
pda_0kOaC,Send and Receive,,,,,,,,Отправить и получить,,,,,,,,
pda_eiClS,Excavate the Port on the Antenna,,,,,,,,Раскопайте порт на антенне,,,,,,,,
pda_Be0uK,===,,,,,,,,,,,,,,,,
pda_uOCSK,Transmission Test,,,,,,,,Тест трансмиссии,,,,,,,,
pda_ii0e0,Receiving Transmission,,,,,,,,Получение передачи,,,,,,,,
pda_Cn4Wm,Datalink connection test,,,,,,,,Проверка соединения канала передачи данных,,,,,,,,
pda_0KRGG,"[c][8ab3ff]Loud and clear, Ida.[-][/c]\n[c][8ab3ff]And how are you on this fine, sunny day?[-][/c]",,,,,,,,"[c][8ab3ff]Громко и ясно, Ида.[-][/c]\n[c][8ab3ff]А как ты в этот прекрасный, солнечный день?[-][/c]",,,,,,,,
pda_8ieqC,Comedy Routine,,,,,,,,комедия рутинная,,,,,,,,
pda_aGi4C,Void of jokes,,,,,,,,Без шуток,,,,,,,,
pda_m0ai0,Datalink connection test,,,,,,,,Проверка соединения канала передачи данных,,,,,,,,
pda_eqqm0,"[c][8ab3ff]Relax, Ida.[-][/c]\n[c][8ab3ff]I thought you new-model AIs were capable of learning and empathy.[-][/c]\n\n[c][8ab3ff]I'm just... trying to stay positive here... and I figured you could do with a laugh too.[-][/c]",,,,,,,,"[c][8ab3ff]Расслабься, Ида.[-][/c]\n[c][8ab3ff]Я думал, что вы, ИИ новой модели, способны к обучению и сочувствию.[-][/c]\n\n[c][8ab3ff]Я просто... пытаюсь сохранять позитивный настрой... и я подумал, что тебе тоже не помешает посмеяться.[-][/c]",,,,,,,,
pda_4Sa0G,A New Parameter,,,,,,,,Новый параметр,,,,,,,,
pda_d8Nm0,Into the Unknown,,,,,,,,В неизвестность,,,,,,,,
pda_0ZCqe,===,,,,,,,,,,,,,,,,
pda_8Quxi,"[c][8ab3ff]Glad to hear it, Ida![-][/c]\n\n[c][8ab3ff]I guess it's time we set out on our journey into the unknown...[-][/c]",,,,,,,,"[c][8ab3ff]Рада это слышать, Ида![-][/c]\n\n[c][8ab3ff]Думаю, пришло время отправиться в путешествие в неизведанное...[-][/c]",,,,,,,,
pda_u8qi4,[b]Chapter 1:[/b] [b][c][00fbff]Human Debris[-][/c][/b],,,,,,,,[b]Глава 1:[/b] [b][c][00fbff]Человеческий мусор[-][/c][/b],,,,,,,,
pda_WmuK5,"[c][00ffff][b]Chapter 1: Human Debris[/b][-][/c]\n\nAlone on an unknown world, you stand against an unforgiving and alien world looking for anything that remains of your crew and your fleet among the wreckage.\n\nAre you truly alone?\n\nIDA may have found the answers you seek...",,,,,,,,"[c][00ffff][b]Глава 1: Человеческий мусор[/b][-][/c]\n\nВ одиночестве в неизвестном мире вы противостоите беспощадному и чужому миру, ища среди обломков все, что осталось от вашей команды и вашего флота.\n\nТы правда одинок?\n\nВозможно, IDA нашла ответы, которые вы ищете...",,,,,,,,
pda_0YSoK,[c][80ffff]Are you sure you want to abort this mission? Please confirm your choice.[-][/c]\n\nYou can start the mission via PDA (F1) at any time.,,,,,,,,"[c][80ffff]Вы уверены, что хотите прервать эту миссию? Пожалуйста, подтвердите свой выбор.[-][/c]\n\nВы можете начать миссию через КПК (F1) в любое время.",,,,,,,,
pda_SmWuC,Receiving Transmission,,,,,,,,Получение передачи,,,,,,,,
pda_mu4K4,[c][4dc3ff]Decrypting...[-][/c],,,,,,,,[c][4dc3ff]Расшифровка...[-][/c],,,,,,,,
pda_a0WSS,===,,,,,,,,,,,,,,,,
pda_qu1Cp,"[c][fafe10][b][ IDA ][/b][-][/c][c][00fbff][-][/c]\n[c][00fbff]I am detecting no thermal or electrical emissions on the ground. But j[-][/c][c][00fbff]udging by the disturbance to the surrounding terrain, I would estimate that the ship impacted the ground at considerable speed.[-][/c]\n[c][00fbff]There may have been survivors, but I am unable to detect the presence of any human heat signatures.[-][/c]",,,,,,,,"[c][fafe10][b][ IDA ][/b][-][/c][c][00fbff][-][/c]\n[c][00fbff]Я не обнаруживаю никаких тепловых или электрических выбросов на земле. Но Дж[-][/c][c][00fbff]судя по возмущению окружающей местности, я бы предположил, что корабль врезался в землю на значительной скорости.[-][/c]\n[c][00fbff]Возможно, были выжившие, но я не могу обнаружить никаких тепловых следов человека.[-][/c]",,,,,,,,
pda_a8mOi,Pelican Down,,,,,,,,Пеликан Даун,,,,,,,,
pda_uuSa4,Locate the crashed ship,,,,,,,,Найдите разбившийся корабль,,,,,,,,
pda_WSaau,IDA has identified a crashed Pelican-Class Transport that may contain clues about the UCH forces and the current situation.,,,,,,,,"IDA идентифицировала разбившийся транспорт класса «Пеликан», который может содержать подсказки о силах UCH и текущей ситуации.",,,,,,,,
pda_C4qeM,"[c][8ab3ff]Ida, I have eyes on the ship.[-][/c]\n[c][8ab3ff]I recognize the ID number on the hull as The UCH-011 Heidelberg...[-][/c]",,,,,,,,"[c][8ab3ff]Ида, я наблюдаю за кораблем.[-][/c]\n[c][8ab3ff]Я узнаю идентификационный номер на корпусе: UCH-011 Heidelberg...[-][/c]",,,,,,,,
pda_4Km0i,Observations,,,,,,,,Наблюдения,,,,,,,,
pda_amqOC,Approach the crashed ship,,,,,,,,Подойдите к разбившемуся кораблю,,,,,,,,
pda_qCGSO,===,,,,,,,,,,,,,,,,
pda_0SG40,[c][8ab3ff]My god...\nThe ship hit the ground hard enough to split in half. I don't see how anyone could walk away from this alive.[-][/c],,,,,,,,"[c][8ab3ff]Боже мой...\nКорабль ударился о землю настолько сильно, что раскололся пополам. Я не понимаю, как кто-то мог уйти отсюда живым.[-][/c]",,,,,,,,
pda_0GiqG,Appraisal,,,,,,,,Оценка,,,,,,,,
pda_Sraa0,[c][8accff]Questioning Authority[-][/c],,,,,,,,[c][8accff]Допрашивающий орган[-][/c],,,,,,,,
pda_YuuiS,===,,,,,,,,,,,,,,,,
pda_Km4iq,Scavenger Hunt,,,,,,,,Охота за мусором,,,,,,,,
pda_G8mS8,Find the energy source,,,,,,,,Найдите источник энергии,,,,,,,,
pda_eSmC4,There's a weak electromagnetic signal being emitted by something near the rear of the Heidelberg.,,,,,,,,Что-то рядом с задней частью Гейдельберга излучает слабый электромагнитный сигнал.,,,,,,,,
pda_Qa48N,The signal is coming from somewhere inside this container,,,,,,,,Сигнал исходит откуда-то внутри этого контейнера,,,,,,,,
pda_8m2ii,Investigate the source,,,,,,,,Исследуйте источник,,,,,,,,
pda_7IJaW,Access the locking pad on the sealed container,,,,,,,,Доступ к запирающей панели на запечатанном контейнере.,,,,,,,,
pda_WiuOu,Personal Logs,,,,,,,,Персональные журналы,,,,,,,,
pda_K440q,Sergeant Palant's Personal Logs,,,,,,,,Личные журналы сержанта Паланта,,,,,,,,
pda_m04aS,"[b][c][fbff00][ IDA ][-][/c][/b] [c][00fbff]These are the decrypted personal log files of Sergeant Palant, Chief Engineer of the UCH-011 Heidelberg[-][/c]\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 1900\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, UCH Expeditionary Fleet, Solar System\n\n[b][/b][Voice to Text]\n[c][bdbdbd]We've just left Jupiter's orbit under steady accel. The generators are purrin' like a kitten and it's looking like I was wrong about the thruster cones.\nIf there's one thing I hate, it's being proven wrong. But in [i]this [/i]case, i'm pleasantly surprised that everything went off without a hitch. Which is more than I can say for [-][/c][c][f2f2f2]Apollo Station[-][/c][c][bdbdbd]...\n\nIt seems that something happened just after we left it and now we've lost all communications with the station. There was some talk among the captains, which of course I ain't privy to, to turn back and help with the rescue. Looks like it's too late though and rescue ships are already on their way, so we're goin' ahead with [-][/c][c][f2f2f2]Operation Phoenix[-][/c][c][bdbdbd] and startin' up the warp cycle to Proxima Centauri.\nHopefully we don't end up the same way as the Hyperion.\n\nPalant out[-][/c]\nEnd transcript\n\n[b][/b][End of Log]\n\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 2021\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, UCH Expeditionary Fleet, Unknown Location\n\n[b][/b][Voice to Text]\n[c][bdbdbd]What the hell is happening around here?!\nIt was only supposed to be a short jaunt to Proxima Centauri, but as soon as the Adonis' Warp Drive spooled up: Boom! The wake hit us like... a brick wall, next thing we know we're getting yanked god-knows-where by the seat of our pants with no way to stop!\nThe Generators are overloaded; we've got a coolant leak somewhere on B-Deck; OUR warp drive, which was only active in a support capacity is outputting high levels of ionizing radiation and I don't think the shielding can take the extra load!\nNow that we're out of warp, we're completely out of position and the rest of the fleet is comparing star charts and measuring crap that's out of my field. All [i]I[/i] know is that my baby is royally screwed, somewhere on the other side of the universe.\n\nPalant Out[-][/c]\nEnd Transcript\n\n[b][ End of Log ][/b]\n\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 2100\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, UCH Expeditionary Fleet, Andromeda Galaxy\n\n[c][bdbdbd]Yep, you read that right: [-][/c][i][c][f2f2f2]Andromeda GALAXY[-][/c][/i][c][bdbdbd]![-][/c]\n[c][bdbdbd]We was s'posed to end up near Proxima Centauri in our OWN galaxy! How in the name of Zeus's [-][/c][i]BUTTHOLE[/i][c][bdbdbd] did we end up on the other side of the [redacted] [-][/c][c][bdbdbd]universe?!\nWe need to turn this tub around and go back the way we came. Ain't no two ways about it. I signed on for a short hop to check out our nearest neighbor, not bugger off on an intergalactic rollercoaster![-][/c]\n[c][bdbdbd]*Sigh*\n\nWe've managed to fix the coolant leak on B-Deck, which solved two problems since the Gennies are cooling back down now that they're getting a full load of coolant.\nThe Rads from the warp drive are only a problem if you're near the warp drive, so i've locked down the warp compartment. No one needs to be in there anyway.\nThe rest of the fleet's got the same problems, but we're all more or less okay for now. We're over a planet it seems, and there's EM signals coming from the planet and orbit nearby. So it seems we're not alone.\nI wonder if it's too late to say ""We come in peace""?\n\nPalant Out[-][/c]\nEnd Transcript\n\n[b][ End of Log ][/b]\n\n\n[b]Log Date:[/b] 13.07.2143\n[b]Time:[/b] 2242\n[b]Creator:[/b] Joshua Palant\n[b]Location:[/b] UCH-011 Heidelberg, Planet Surface, Andromeda Galaxy\n\n[Voice to Text]\n[c][bdbdbd]*Cough* well... It seems I really stepped in it this time.\nAs soon as the impact alarms sounded, we took a hit on the port side of the ship by some kind of plasma weapon from the approaching ships. No warning, no communications, just BANG!\nThe hit fused the coolant pipes and starved the port-side gennies, so I had to hit the emergency shut off button.\n\nThe Heidy ain't built for heavy combat and the plasma and missiles that blew open the starboard thruster sent us into a decaying spin towards the planet. Impact in seven minutes and I was the only one left on this deck, so I had the bright idea to shut myself in one of the cargo containers. I was pretty sure i'd be safe in here... turns out I was right.\nThis is probably the only time I regret being proven right.\n\nSo i'm trapped in this container and can't get out. I'd guess i'm buried under the ship. Whoever you are, you probably already figured that out...\nI guess it's not so bad... I did all I could and this isn't a bad way to go.\nI hope you can someday get my body back home...\n\nSigning off for the last time... Palant Out.[-][/c]\nEnd Transcript\n\n[b][ End of Log ][/b]",,,,,,,,"[b][c][fbff00][ IDA ][-][/c][/b] [c][00fbff]Это расшифрованные личные файлы сержанта Паланта, главного инженера UCH-011 Гейдельберг.[-][/c]\n\n[b]Дата журнала:[/b] 13.07.2143\n[b]Время:[/b] 1900\n[b]Создатель:[/b] Джошуа Палант\n[b]Местоположение:[/b] UCH-011 Гейдельберг, Экспедиционный флот UCH, Солнечная система\n\n[b][/b][Voice to Text]\n[c][bdbdbd]Мы только что покинули орбиту Юпитера с постоянным ускорением. Генераторы мурлыкают, как котёнок, и похоже, что я ошибся насчет конусов двигателей.\nЕсли есть что-то, что я ненавижу, так это то, что это оказывается неправильным. Но в [i]это [/i]В общем, я приятно удивлен, что все прошло без сучка и задоринки. Это больше, чем я могу сказать [-][/c][c][f2f2f2]Станция Аполлон[-][/c][c][bdbdbd]...\n\nКажется, что-то произошло сразу после того, как мы ее покинули, и теперь мы потеряли всякую связь со станцией. Среди капитанов шел разговор, о котором я, конечно, не осведомлен, о том, чтобы повернуть назад и помочь со спасением. Похоже, уже слишком поздно и спасательные корабли уже в пути, так что мы продолжим [-][/c][c][f2f2f2]Операция Феникс[-][/c][c][bdbdbd] и запускаем варп-цикл к Проксиме Центавра.\nНадеюсь, мы не закончим так же, как Гиперион.\n\nПалант из[-][/c]\nКонец расшифровки\n\n[b][/b][End of Log]\n\n\n[b]Дата журнала:[/b] 13.07.2143\n[b]Время:[/b] 2021\n[b]Создатель:[/b] Джошуа Палант\n[b]Местоположение:[/b] UCH-011 Гейдельберг, Экспедиционный флот UCH, местонахождение неизвестно.\n\n[b][/b][Voice to Text]\n[c][bdbdbd]Что, черт возьми, здесь происходит?!\nПредполагалось, что это будет всего лишь короткая прогулка до Проксимы Центавра, но как только варп-двигатель «Адониса» заработал: Бум! След обрушился на нас, как... на кирпичную стену, и следующее, что мы осознаем, нас дергает черт знает куда за штаны, и мы не можем остановиться!\nГенераторы перегружены; у нас где-то на Б-палубе утечка охлаждающей жидкости; НАШ варп-двигатель, который был активен только в вспомогательной емкости, излучает высокие уровни ионизирующего излучения, и я не думаю, что защита выдержит дополнительную нагрузку!\nТеперь, когда мы вышли из варпа, мы совершенно не на своей позиции, а остальная часть флота сравнивает звездные карты и измеряет чушь, которая не в моей области. Все [i]я[/i] Я знаю, что мой ребенок по-настоящему облажался где-то на другом конце вселенной.\n\nПалант Аут[-][/c]\nКонец стенограммы\n\n[b][ End of Log ][/b]\n\n\n[b]Дата журнала:[/b] 13.07.2143\n[b]Время:[/b] 2100\n[b]Создатель:[/b] Джошуа Палант\n[b]Местоположение:[/b] UCH-011 Гейдельберг, Экспедиционный флот UCH, Галактика Андромеда\n\n[c][bdbdbd]Да, вы правильно прочитали: [-][/c][i][c][f2f2f2]Андромеда ГАЛАКТИКА[-][/c][/i][c][bdbdbd]![-][/c]\n[c][bdbdbd]Мы должны были оказаться возле Проксимы Центавра в нашей СОБСТВЕННОЙ галактике! Как во имя Зевса [-][/c][i]ПОПКА[/i][c][bdbdbd] мы оказались на другой стороне [redacted] [-][/c][c][bdbdbd]Вселенная?!\nНам нужно развернуть эту ванну и вернуться тем же путем, которым мы пришли. Здесь нет двух способов. Я подписался на короткий прыжок, чтобы осмотреть нашего ближайшего соседа, а не кататься на межгалактических американских горках![-][/c]\n[c][bdbdbd]*Вздох*\n\nНам удалось устранить утечку охлаждающей жидкости на B-палубе, что решило две проблемы, поскольку Джинны теперь снова остывают, получив полную загрузку охлаждающей жидкости.\nРады от варп-двигателя представляют собой проблему, только если вы находитесь рядом с варп-двигателем, поэтому я запер варп-отсек. В любом случае там никого не должно быть.\nУ остального флота те же проблемы, но у нас пока все более-менее в порядке. Кажется, мы находимся над планетой, и с планеты и ее орбиты приходят электромагнитные сигналы. Так что, похоже, мы не одиноки.\nИнтересно, не поздно ли сказать: «Мы пришли с миром»?\n\nПалант Аут[-][/c]\nКонец стенограммы\n\n[b][ End of Log ][/b]\n\n\n[b]Дата журнала:[/b] 13.07.2143\n[b]Время:[/b] 2242\n[b]Создатель:[/b] Джошуа Палант\n[b]Местоположение:[/b] UCH-011 Гейдельберг, поверхность планеты, галактика Андромеда\n\n[Voice to Text]\n[c][bdbdbd]*Кашель* ну... Кажется, на этот раз я действительно вмешался.\nКак только прозвучала сигнализация о столкновении, мы получили удар по левому борту корабля каким-то плазменным оружием с приближающихся кораблей. Никакого предупреждения, никакой связи, просто БАХ!\nВ результате удара перегорели трубы охлаждающей жидкости, и джинны по левому борту умерли от голода, поэтому мне пришлось нажать кнопку аварийного отключения.\n\n«Хейди» не создан для тяжелого боя, а плазма и ракеты, взорвавшие двигатель правого борта, заставили нас резко развернуться по направлению к планете. Столкновение произошло через семь минут, и я остался один на этой палубе, поэтому мне пришла в голову блестящая идея запереться в одном из грузовых контейнеров. Я был почти уверен, что здесь буду в безопасности... оказывается, я был прав.\nНаверное, это единственный раз, когда я сожалею, что оказался прав.\n\nИтак, я заперт в этом контейнере и не могу выбраться. Думаю, я похоронен под кораблем. Кто бы вы ни были, вы, наверное, уже это поняли...\nДумаю, это не так уж и плохо... Я сделал все, что мог, и это неплохой путь.\nНадеюсь, ты когда-нибудь сможешь вернуть мое тело домой...\n\nВыхожу в последний раз... Palant Out.[-][/c]\nКонец стенограммы\n\n[b][ End of Log ][/b]",,,,,,,,
