KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.",,,,,,,,"Сначала я рисую карты для вас, затем для себя. Выигрывает тот, кто окажется ближе всего к номеру 21. Карта, которую я вытягиваю, имеет номер от 1 до 11. После каждой карты у вас есть выбор остановиться.\nЕсли вы выиграете, вы получите мою часть сверх вашей ставки.",,,,,,,,
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>",,,,,,,,"Хорошо, спасибо, я понял <i><color=#ffffff> (Назад)</color></i>",,,,,,,,
txt_80qd8,"Wait, how does it work?",,,,,,,,"Подожди, как это работает?",,,,,,,,
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,,,,,,,,"Ты уже проиграл 20 раз на моем столе. Вернитесь позже и подумайте, возможно, о том, чтобы найти настоящую работу.",,,,,,,,
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,,,,,,,,Это снова ты! Наше руководство приказало мне отказаться от игры с вами. Вернитесь позже.,,,,,,,,
txt_eeUSG,Can you tell me my Statistics first?,,,,,,,,Можете ли вы сначала рассказать мне мою статистику?,,,,,,,,
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,,,,,,,,На моем столе ты играл <color=#ffffff>{GamesPlayed}</color> раз.\n\nВы <color=#019245>выиграли {TableGamesWon}</color> раз.\nВы проиграли {TableGamesLost} раз.\n\nВы <color=#019245>выиграли {TableCoinsWon}</color> <color=#fddc1e>Золотые монеты</color>.\nВы <color=#cf0707>потеряли {TableCoinsLost}</color> <color=#fddc1e>Золотые монеты</color>.,,,,,,,,
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,,,,,,,,"Хорошо, тогда... <i><color=#ffffff>(Назад)</color></i>",,,,,,,,
dialogue_traderSplit1,How may I serve you?,,Comment puis-je vous servir?,Come posso aiutarti?,,,,,Чем я могу служить вам?,何をいたしましょうか？,我可以为你服务吗？,,,Size nasıl hizmet edebilirim?,,,
dialogue_traderSplit1a,Heard anything interesting lately?,,Quelles sont les dernières nouvelles?,Quali sono le utime notizie?,,,,,Какие последние новости?,最近のニュースは？,最新的消息是什么？,,,En son haberler neler?,,,
dialogue_traderSplit1b,I'm here to shop.,,Je souhaite commercer,Vorrei fare degli acquisti,,,,,Я хочу торговать,取引したい,我想做笔买卖,,,Ticaret yapmak istiyorum,,,
dialogue_traderSplit2,We currently have a sale going on. Be sure to buy while you can!,,Des offres spéciales sont toujours à prévoir!,Le offerte speciali sono sempre dietro l'angolo!,,,,,Всегда стоит ожидать специальных предложений!,特別なオファーには必ず期待が持てます!,特价商品总是让人期待！,,,Özel teklifler her zaman beklenir!,,,
dialogue_traderSplit2a,Very good.,,Super!,Molto Bene!,,,,,Очень хорошо!,ベリーナイス！,棒极了！,,,Çok iyi!,,,
dialogue_traderSplit2b,I'll pass.,,Au revoir.,Saluti!,,,,,До свидания.,Bye.,拜拜。,,,Hoşçakal.,,,
dialogue_O2uWK,I've spent too long away from my family... My contract is almost up and i'll finally be able to go home.,,Ma famille me manque. J'espère que je les verrai bientôt.,Mi manca la mia famiglia. Spero di rivederli presto.,,,,,"Я скучаю по семье. Надеюсь, я скоро их увижу.",家族に会いたい。早く会えることを願っている。,我想念我的家人。我希望能尽快见到他们。,,,Ailemi özledim. Umarım yakında görüşürüz.,,,
dialogue_CKKaK,I heard there are fish up in the ponds on the Presidium. Do you think that's true?,,Ma famille me manque. J'espère qu'ils vont bien.,Penso sempre alla mia famiglia. Spero stiano tutti bene.,,,,,"Я скучаю по семье. Жертвы, которые мы приносим.",家族に会いたい。我々が行う犠牲。,我想念我的家人。我们对此做出了巨大的牺牲。,,,Ailemi özledim. Uğruna yaptığımız fedakarlıklar.,,,
dialogue_W8uBS,"Polaris has good prices but poor quality merchandise. On the other hand, the Trade Federation's products are always top quality but are too expensive for my budget. What should I do?",,La Guilde des commerçants a des prix vraiment scandaleux.,La Gilda dei Commercianti ha veramente dei prezzi scandalosi.,,,,,У торговой федерации плохие цены.,通商連合にはいくつかの悪い価格がある。,贸易商会的出价不怎么样。,,,Ticaret federasyonunun bazı kötü fiyatları var.,,,
dialogue_wWKTq,I heard an idiot keep insisting that TOP brewery makes root beer! That stuff has enough alcohol to degrease an engine!\nI know for a fact that you can treat infected wounds and dermal parasites with it!,,La bière de racine de cette galaxie est vraiment bonne!,La birra di radice di questa galassia è davvero buona!,,,,,Рутбир в этой галактике действительно хорош!,この銀河のルートビールは本当にうまい！,这个星系的树根啤酒真的很好喝!,,,Bu galaksideki kök birası gerçekten çok iyi!,,,
dialogue_oKiaa,"I hear someone talking about a new simulation today, it's called 'Project Eden' and they say it is great!",,"J'entends parler aujourd'hui d'une nouvelle simulation, ça s'appelle «Projet Eden» et il parait que c'est génial!",,,,,,"Я слышал, как сегодня кто-то говорит о новой симуляции, она называется «Проект Эдем», и они говорят, что она великолепна!",今日誰かが新しいシミュレーションの話をしているのを聞いたよ、「プロジェクト・エデン」と呼ばれて、すごいらしいよ！,我今天听到有人在说一个新的模拟类游戏，叫什么'伊甸园计划'，他们说这个游戏玩起来很棒！(译者注:伊甸园计划是一个社区制作的游戏场景),,,,,,
dialogue_aq0uu,I'm tired of life on this space station. Maybe I should sign up for one of the colonies in the outer reaches?,,Francis Taelyn vient d'annoncer une nouvelle version «IU». Elle aurait de jolies couleurs.,,,,,,"Фрэнсис Тэлин только что анонсировал новую версию «UI». Я слышал, у нее красивые цвета.",Francis Taelynが「UI」の新バージョンを発表しました。いい色になっているそうです。,Francis Taelyn刚刚公布了新版本的一个 'UI'。我听说它的颜色非常漂亮。(译者注:Francis Taelyn是游戏制作者之一),,,,,,
dialogue_4exuC,Why are there so few variants of alien life in this galaxy? You'd expect to see at least <i>something </i>different on each planet!,,Le pouvoir aux.. tentacules!,Potere ai .. tentacoli!,,,,,Сила .. тентаклей!,パワーを...触手に!,触手的...力量！,,,,,,
dialogue_OqiK0,Have you heard of 'Discord'? I heard they're a music group from Baymax 6.,,J'ai entendu parler d'un nouveau groupe de musique. Ils se font appeller «Discord».,Ho sentito parlare di un nuovo gruppo musicale. Si fanno chiamare 'Discord'.,,,,,Я слышал о создании новой музыкальной группы. Они называют себя Discord.,新しい音楽グループが結成されたと聞いた。彼らは「不協和音」と名乗っています。,我听说有一个新的音乐团体成立了。他们自称 'Discord'。,,,,,,
dialogue_4ieSe,"I heard strange noises coming from a vent on the last colony I visited, I couldn't sleep at all.",,"J'ai entendu des bruits étranges provenant d'une bouche d'aération sur la dernière colonie que nous avons visitée, je n'ai pas du tout pu dormir.",,,,,,"Я слышал странные звуки, доносящиеся из вентиляционного отверстия последней посещенной нами колонии, и не мог спать из за этого.",前に行ったコロニーの通気孔から異音が聞こえてきて、全然眠れなかった。,我听到了奇怪的声音，好像是我们上次去的殖民地通风口发出的声音，我现在根本睡不着。,,,,,,
dialogue_uqqiK,I can't wait to ship out of this dump. The goons from HabSec keep conducting 'random' searches on my bags. It's clearly discrimination!,,Côté planète est ma préférence.,Mi piace stare dalla parte del pianeta.,,,,,Мне нравится смотреть на планету.,惑星側に行くのが好きなんだ。,我喜欢去星球的另一边。,,,,,,
dialogue_3uku4,"A lot of people complain about the Zirax's governing. Honestly, I think they're fine. They could've regressed into complete tyranny but have kept to their treaties and keep the galaxy safe.",,Les Zirax sont d'excellents dirigeants. Aucune réglementation!,Gli Zirax sono ottimi governatori. Nessun regolamento!,,,,,Зиракс - прекрасные губернаторы. Никаких правил!,ジラックスは優れた統治者だ。規制がない！,兹瑞克斯是优秀的治理者。我们完全没有管制！,,,,,,
dialogue_mqS04,"I've heard that Vermillion of Forge Aerospace has been contracted by Rados to build new bases for them. He has an apartment on one of the trade stations, but I don't know which.",,Je préfère mourir plutôt que de payer plus d'impôts.,Preferirei morire piuttosto che pagare più tasse.,,,,,"Я лучше умру, чем буду платить больше налогов.",これ以上税金を払うくらいなら死んだ方がマシだ。,我宁可死也不愿意多交税。,,,,,,
dialogue_We84e,I'm looking for ship to Farpoint Station. Are you a Federation captain? No? Oh well.,,"Il n'y a pas de lendemain, seulement aujourd'hui!","Non c'è un domani, il presente è oggi!",,,,,"Там нет завтра, только сегодня!",明日はない、今日だけだ！,世上没有明天，只有今天！,,,,,,
dialogue_uECW0,I saw an idiot flying a Naginata the other day. I suppose 'crashing' is probably the better term. Smashed right into the ground outside an Abyssal fortress on a Plasma planet!,,Cet emplacement a de nombreux avantages.,Questo luogo ha molte belle qualità.,,,,,У этого места много хороших качеств.,この場所には多くの素晴らしい資質があります。,这个地方是个风水宝地。,,,,,,
dialogue_6pmsM,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_0EuCe,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_GOi8I,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_a4G8W,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_mOqee,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_eG9aS,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_Cm84a,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_WQGAa,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_SecG0,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_GC4S4,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_W8OqM,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_44OOm,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_04ila,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_Pqsuq,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_8uuOW,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_e8aaK,That Zirax blockade has seized three freighters coming into the system! I had cargo on both of them! Now they expect me to pay them to release MY cargo!,,Les Zirax sont très oppressants!,Gli Zirax sono veramente oppressivi!,,,,,Zirax очень гнетущие!,ジラックスは非常に抑圧的だ！,兹瑞克斯很有压迫感！,,,,,,
dialogue_KWMmx,"Why do people keep calling these guns 'Epic'? We're not a bunch of dumb kids. These guns have proper military designations! What for the next series of weapons, huh? super-hyper-epic assault rifle? Grow up!",,Avez-vous vu le nouveau fusil à impulsions v3? J'ai hâte d'en essayer un!,Hai visto il nuovo fucile a impulsi MkIII? Non vedo l'ora di sparare con uno di quelli!,,,,,Вы видели новую импульсную винтовку MkIII? Мне уже не терпится пострелять из нее!,新しいMkIIIパルスライフルを見た？撃つのが待ち遠しい！,你看到新的MkIII脉冲步枪了吗？我已经迫不及待地想开火了！,,,,,,
dialogue_OCsS4,"I'm a huge fan of Plasma Cannons, but honestly... The rocket launcher is far easier to use.",,"Les canons à plasma, c'est vraiment quelque chose!",I cannoni al plasma esistono davvero!,,,,,Плазменные пушки - это действительно что-то!,プラズマキャノンは本当にすごい！,等离子炮还真是厉害！,,,,,,
dialogue_WW401,I hear the new cruiser can make the Kessel run in just 12 parsecs!,,J'ai entendu dire que le nouveau croiseur peut faire le raid Akua en seulement 3 sauts hyperespace!,,,,,,"Я слышал, что новый крейсер может достигнуть Акуа всего за 3 варп-прыжка!",新型クルーザーは3回のワープジャンプでアクアを走らせることができると聞いた！,听说新的巡洋舰只需3次曲速跳跃就能做到“阿库亚跑”!,,,,,,
dialogue_mCeu0,The new captain has a stick up his ass about procedure. At least if he runs out of ammo he can pull it out and use it as a backup weapon.,,Le nouveau capitaine est trop sévère!,Il nuovo capitano è troppo severo!,,,,,Новый капитан слишком суров!,新艦長は厳しすぎる！,新队长真的太苛刻了!,,,,,,
dialogue_YOwMq,I heard someone talking about a lost Polaris Superfreighter in the Ellyon system. 10 credits says they were shipping something they weren't meant to.,,J'ai entendu quelqu'un parler d'un vaisseau d'extraction Polaris perdu dans le système Ellyon.,Ho sentito qualcuno parlare di una nave mineraria Polaris che è andata perduta nel sistema Ellyon.,,,,,"Я слышал, как кто-то говорил о потерянном шахтёрском корабле Полярис в системе Ellyon.",エリヨン星系で失われたポラリスの採掘船の話を聞いたことがある。,我听人说起过在Ellyon星系有一艘失联的北极星采矿船。,,,,,,
dialogue_KKSeK,I love to look out the windows when we make planet fall for a survey mission.,,J'adore regarder par les fenêtres lorsque nous atterrissons sur une planète lors d'une mission d'exploration.,,,,,,"Я люблю смотреть в окна, когда мы приземляемся на планету во время исследовательской миссии.",私は調査任務のために惑星に降下する時に、窓の外を見るのが好きなんだ。,当我们的调查任务需要投射空降时，我喜欢看着窗外的风景。,,,,,,
dialogue_WiTWq,There are rumours about hidden pirate markets. I wonder if it would be cheaper to buy from them than Polaris?,,Il y a des rumeurs à propos de marchés pirates cachés.,Ho sentito voci a riguardanti alcuni mercati pirati nascosti.,,,,,Ходят слухи о скрытых пиратских рынках.,隠された海賊市場について噂があります。,最近有关于神秘的海盗基地的传言。,,,,,,
dialogue_6SG4t,I heard that a Tal'on ship was seen near the Outer Rim! The Tal'on with ships?! There haven't been Tal'on ships in centuries!,,J'ai entendu dire qu'il y avait un mouvement de résistance galactique grandissant contre le Zirax!,Ho sentito che c'è un movimento di resistenza galattica in forte crescita contro gli Zirax!,,,,,"Я слышал, что против Зиракса растет движение галактического сопротивления!",ジラックスに対して銀河系のレジスタンス運動が活発化していると聞いています。,我听说有一个反对兹瑞克斯的银河抵抗运动正在蓬勃发展！,,,,,,
dialogue_G000a,"What's up with the captain's orders? He's always saying stuff like 'Engage', 'Make it so' and 'Energize'.",,J'ai entendu dire que le capitaine aime vraiment dire aux officiers de passerelle de «s'engager».,,,,,,"Я слышал, что капитану очень нравится просить офицеров на мостике «вступать в бой».",館長は士官に「交戦」を指示するのが好きだと聞いている。,听说舰长很喜欢对舰桥人员说'Engage'。(译者注:'Engage'是星际迷航中皮卡德船长的口头禅，意思是“交战”),,,,,,
dialogue_0UmSG,Elias Hummel just put out a new galactic survey: Which parts of Andromeda do you like best?,,Elias Hummel vient de publier une nouvelle étude galactique: Quelles régions d'Andromède aimez-vous le plus? Ou le moins?,Elias Hummel ha appena pubblicato un nuovo sondaggio galattico: Quali parti di Andromeda ti piacciono di più?,,,,,Элиас Хаммель только что опубликовал новый галактический обзор: какие части Андромеды вам нравятся больше всего? А меньше всего?,エリアス・フンメルが新しい銀河調査を発表した：アンドロメダのどこが少なくとも一番好き？,Elias Hummel刚刚发表了一份新的星系调查报告：你最喜欢仙女座的哪些地方？最不喜欢的呢？(译者注:Elias Hummel是游戏制作者之一),,,,,,
dialogue_0KcZq,I wonder what the mess hall has for dinner today?,,Je me demande ce que le réfectoire a pour dîner aujourd'hui?,Mi chiedo cosa offrirà la mensa per cena..,,,,,"Интересно, что сегодня в столовой на обед?",今日の食堂の夕食は何だろう？,不知道今天的饭堂有什么吃的？,,,,,,
dialogue_qa8S8,"Nice gun you have there, but aren't you a little short for a stormtrooper?",,Nous avons les meilleurs équipages de la galaxie!,Abbiamo le migliori squadre della galassia!,,,,,У нас лучшие экипажи в галактике!,銀河で最高のクルーがいるぞ！,我们有全银河系最好的船员！,,,,,,
dialogue_aASCi,I heard Forge Aerospace designed the Tovera-Class Dreadnought. The guy that did it must really hate people! He told me to say that by the way.,,J'ai entendu dire que Forge Aerospace avait vendu 3 nouveaux destroyers à des idiots pour tout leur carburant de moteur à distorsion.,,,,,,"Я слышал, Forge Aerospace продала каким-то идиотам 3 новых эсминца за все их варп-топливо.",フォージ航空宇宙社がワープ燃料のために新型駆逐艦３隻をバカに売ったらしい。,我听说锻造宇航公司为了换取对方所有的曲速燃料，把三艘新的驱逐舰卖给了那几个白痴。,,,,,,
dialogue_0SW4q,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_ae40Y,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_SSuuK,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_iUSim,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_SOeCe,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_QKSOp,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_KCeNm,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_Kqu0O,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_OO8VS,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_uii0T,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_q4aqS,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_OCceO,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_4kSGu,<i>(leave)</i>,,<i>(quitter)</i>,<i>(vattene)</i>,,,,,<i>(уйти)</i>,<i>(去る)</i>,<i>(离开)</i>,,,<i>(çık)</i>,,,
dialogue_rH0eW,"Yes, I can speak Trade Standard, Terran. I go with the chief regularly to purchase supplies from the traders of Polaris.",,Cette planète a de nombreux avantages.,Questo pianeta ha molte belle qualità.,,,,,У этой планеты много прекрасных качеств.,この惑星には多くの素晴らしい資質があります。,这个星球有很多优良的品质。,,,,,,
dialogue_W4uva,I heard one of your people call an Erebus Spider a 'Giganpedibus Silex' does it mean something or do you just like inventing long-winded names for things?,,Certaines des grosses araignées me font vraiment peur!,Alcuni di quegli enormi ragni mi fanno rabbrividire!,,,,,Некоторые из больших пауков действительно пугают меня!,大きなクモの中には本当にゾッとするものもいる！,有些大蜘蛛真的让我毛骨悚然!,,,,,,
dialogue_icCWa,Watch your footing in tall grass. Leafcutters will go for your legs!,,J'entends des prédateurs au loin!,Sento dei predatori in lontananza!,,,,,Я слышу хищников вдалеке!,遠くで捕食動物の声が聞こえる！,我听到远处有掠食者的声音！,,,,,,
dialogue_88GS4,"I do not trust you, Terran. Stay away from me and we shall have no problems.",,Nous n'oublierons jamais ce que le Zirax nous a fait.,Non dimenticherò mai quello che ci hanno fatto gli Zirax.,,,,,"Мы никогда не забудем, что с нами сделал Зиракс.",我々はジラックスが我々にしたことを決して忘れないだろう。,我们永远不会忘记兹瑞克斯对我们做了什么。,,,,,,
dialogue_0mqi4,I am not supposed to be talking to you. Our chief is our contact with the outside world.,,Je ne suis pas censé te parler. C'est notre chef est notre contact avec le monde extérieur.,,,,,,Я не должен с тобой разговаривать. Наш главный - это наш контакт с внешним миром.,私はお前と話すことになっていない。我々の酋長は外の世界との接点だ。,我不应该和你说话。我们的酋长才是联系我们与外部世界的。,,,,,,
dialogue_8COm4,You may think our crossbows are primitive but they are made from the best materials that are a rival to any rifle.,,Les arbalètes sont bonnes pour la chasse!,Le balestre sono buone per la caccia!,,,,,Арбалеты хороши для охоты!,クロスボウは狩りに適している!,弩是打猎的好帮手!,,,,,,
dialogue_K0KCK,Thankfully we can grow all the food we need. But hunting is still necessary for ingredients to be sold to Polaris.,,"Heureusement, nous pouvons cultiver toute la nourriture dont nous avons besoin.",Per fortuna possiamo coltivare tutto il cibo di cui abbiamo bisogno.,,,,,"К счастью, мы можем выращивать все, что нам нужно.",ありがたいことに我々は必要な食物をすべて栽培することができる。,值得庆幸的是，我们可以种植所有我们需要的食物。,,,,,,
